Sentence	Label
इसलिए जब तक मैं किसी कन्वर्टर के पास नहीं जाता, मेरे लिए इसे अमेरिका में प्लग करने का कोई तरीका नहीं है।	0
अच्छा मामला, उत्कृष्ट मूल्य।	1
जबड़े के लिए महान।	1
45 मिनट से अधिक समय तक चलने वाली बातचीत के लिए चार्जर पर बाँध दिया गया। MJOR PROBLEMS !!	0
माइक बढ़िया है।	1
मुझे सभ्य वॉल्यूम प्राप्त करने के लिए इसे ठीक करने के लिए प्लग को झटकना पड़ता है।	0
यदि आपके पास कई दर्जन या कई सौ संपर्क हैं, तो उनमें से प्रत्येक को एक-एक करके भेजने के मजे की कल्पना करें।	0
यदि आप Razr के मालिक हैं ... आपके पास यह होना चाहिए!	1
कहने की जरूरत नहीं है, मैंने अपना पैसा बर्बाद किया।	0
क्या पैसे और समय की बर्बादी है!	0
और ध्वनि की गुणवत्ता महान है।	1
मूल बैटरी से विस्तारित बैटरी में जाने पर वह बहुत प्रभावित हुआ।	1
यदि दोनों को केवल 5+ फीट की दूरी से अलग किया गया था, तो मैंने हेडसेट से अत्यधिक स्थिर और विकृत ध्वनि की सूचना दी।	0
हालांकि बहुत अच्छी गुणवत्ता	1
डिजाइन बहुत ही अजीब है, क्योंकि कान &quot;क्लिप&quot; बहुत आरामदायक नहीं है।	0
किसी भी एक के लिए अत्यधिक अनुशंसा करें जिसके पास ब्लू टूथ फोन है।	1
मैं हर किसी को सलाह नहीं देता हूँ!	0
अब तक तो सब ठीक है!।	1
बहुत अच्छा काम करता है!।	1
यह इस तरह से क्लिक करता है जिससे आपको आश्चर्य होता है कि यह तंत्र कितने समय तक चलेगा।	0
मैं मोटोरोला की वेबसाइट पर गया और सभी दिशा-निर्देशों का पालन किया, लेकिन फिर से जोड़ी बनाने के लिए नहीं मिला।	0
मैंने इसे अपने किंडल फायर के साथ उपयोग करने के लिए खरीदा था और इसे पूरी तरह से प्यार करता था!	1
विज्ञापन सबसे अधिक भ्रामक हैं।	0
मुझे अभी तक इस नई बैटरी को दो बार से नीचे चलाना है और यह तीन दिन बिना चार्ज के चलती है।	1
मैंने इसे अपनी मां के लिए खरीदा था और उन्हें बैटरी की समस्या थी।	0
महान पॉकेट पीसी / फोन संयोजन।	1
मैंने इस फोन का स्वामित्व 7 महीने के लिए रखा है और कह सकता हूं कि यह मेरे पास सबसे अच्छा मोबाइल फोन है।	1
मुझे नहीं लगता था कि दिए गए निर्देश मेरे लिए मददगार थे।	0
लोग मुझे बात करते नहीं सुन सके और मुझे ईयरफोन निकालकर फोन पर बात करनी पड़ी।	0
चार्ज नहीं रखता है।	0
यह उपयोग करने के लिए एक साधारण सा फोन है, लेकिन टूटना अस्वीकार्य है।	0
यह उत्पाद मेरे जैसे लोगों के लिए आदर्श है जिनके कान बहुत संवेदनशील होते हैं।	1
यह फ्रीवे की गति से चलती कार में अनुपयोगी है।	0
मेरे पास इस अनुबंध में दो और साल बाकी हैं और मुझे इस फोन से नफरत है।	0
कार चार्जर के साथ-साथ एसी चार्जर सुनिश्चित करने के लिए शामिल किए गए हैं कि आप कभी भी रस से बाहर नहीं निकलते हैं	1
जब आप पहली बार फोन चालू करते हैं, तो आपको अपनी फोन बुक में आने के लिए कम से कम 3 मिनट की आवश्यकता होती है। बैटरी जीवन छोटा होता है।	0
यह बहुत अच्छा रखा है।	1
खराब टॉक टाइम प्रदर्शन।	0
मामला बहुत अच्छा है और 680 के साथ ठीक काम करता है।	1
बेकार उत्पाद।	0
इसमें 2MP का शानदार कैमरा दिया गया है और बढ़िया पिक्चर क्वालिटी के साथ पिक्स अच्छे और स्पष्ट हैं।	1
मैं इस उत्पाद से प्रभावित नहीं था।	0
अच्छा हेडसेट की कीमत सही है।	1
मैं केवल ऑडियो के लिए कचरा सुनता हूं।	0
उत्कृष्ट ब्लूटूथ हेडसेट।	1
इसमें सभी सुविधाएँ हैं जो मुझे चाहिए	1
उनके सही दिमाग में कौन इस बैटरी खरीदने वाला है?	0
बहुत से लोगों के साथ काम करने से पहले हमने कहा कि हम दो दिनों में फोन को फिर से शुरू कर देते हैं।	0
यह मामला अच्छी तरह से बना हुआ लगता है।	1
बैटरी से निराश।	0
पर्याप्त जोर से नहीं है और इसे चालू नहीं करना चाहिए।	0
अच्छी सुरक्षा और फोन भी भारी नहीं है।	1
एक प्रयोग करने योग्य कीबोर्ड वास्तव में पीडीए को केवल एक स्वच्छ गैजेट के बजाय एक वास्तविक-विश्व उपयोगी मशीन में बदल देता है।	1
यह फोन काफी तगड़ा है और मुझे इससे कोई बड़ी समस्या नहीं है।	1
मुझे यह बात अच्छी लगी!	1
इसके बारे में सब कुछ कीमत के लिए ठीक और उचित है	1
बहुत निराश।	0
मैंने इस फोन को एक स्ट्रीम में भी गिरा दिया और यह 15 सेकंड के लिए जलमग्न हो गया और यह अभी भी बहुत अच्छा है!	1
मैं 510 से बहुत खुश हूं और उनके अंत में मेरी ध्वनि की गुणवत्ता के बारे में किसी से कोई शिकायत नहीं है।	1
चालू और बंद बटन खराब हैं।	0
अनिवार्य रूप से आप Microsoft के तकनीकी समर्थन को भूल सकते हैं।	0
मैं वास्तव में इस फेसप्ले की सलाह देता हूं क्योंकि यह बहुत अच्छा, सुरुचिपूर्ण और शांत दिखता है।	1
ये हेडफ़ोन एक महान खोज थे - और मुझे लगता है कि वे शायद पिछले कई वर्षों में सबसे अच्छी खरीद हैं - गंभीरता से।	1
एक अलग फोन खरीदें - लेकिन यह नहीं।	0
आपको दूसरे पक्ष को स्पष्ट रूप से सुनने के लिए फ़ोन को किसी विशेष कोण पर रखना होगा।	0
एमपी 3 प्लेयर का एक बड़ा दोष यह है कि फोन के फ्रंट कवर पर बटन जो आपको कुछ सेकंड के बाद गाने को रोकने और विदा करने देते हैं।	0
एक सप्ताह बाद जब मैंने इसे सक्रिय किया, तो यह अचानक मर गया।	0
यह अधिकांश हेडसेट्स की तुलना में अधिक आरामदायक लगता है क्योंकि मैं चश्मा पहनता हूं और यह कभी-कभी रास्ते में हो जाता है।	1
IPODs के लिए भी बढ़िया है।	1
यह उपकरण कई स्थितियों में महान है: 1।)	1
माइक काम नहीं करता है।	0
