Sentence	Label
Jadi tidak ada cara bagi saya untuk plug-in di sini di sini di AS kecuali aku pergi oleh converter.	0
Kasus yang bagus, nilai yang sangat bagus.	1
Bagus untuk tulang rahang.	1
Diikat dengan charger untuk percakapan yang berlangsung lebih dari 45 minutes.MAJOR MASALAH!!	0
Mic-nya bagus.	1
Aku harus menggoyangkan steker agar bisa mengantri tepat untuk mendapatkan volume yang layak.	0
Jika Anda memiliki beberapa lusin atau beberapa ratus kontak, maka bayangkan menyenangkan mengirim masing-masing dari mereka satu per satu.	0
Jika Anda Razr owner...Anda harus memiliki ini!	1
Tak perlu dikatakan, aku membuang-buang uang saya.	0
Apa membuang-buang uang dan waktu!	0
Dan kualitas suaranya bagus.	1
Dia sangat terkesan ketika pergi dari baterai asli ke baterai yang diperpanjang.	1
Jika dua yang terpisah oleh hanya 5 + kaki saya mulai melihat statis yang berlebihan dan suara yang berhiasan dari headset.	0
Kualitas yang sangat bagus.	1
Desainnya sangat aneh, karena telinga "klip" tidak terlalu nyaman sama sekali.	0
Sangat merekomendasikan untuk setiap orang yang memiliki telepon gigi biru.	1
AKU MENYARANKAN SEMUA ORANG JANGAN TERTIPU!	0
Sejauh Ini Sangat Bagus!	1
Bekerja dengan baik!	1
Ini klik ke tempat dengan cara yang membuat Anda bertanya-tanya berapa lama mekanisme yang akan bertahan.	0
Aku masuk ke situs Motorola dan mengikuti semua arah, tapi tidak bisa membuatnya untuk berpasangan lagi.	0
Saya membeli ini untuk digunakan dengan Api Kindle saya dan benar-benar menyukainya!	1
Iklannya adalah yang paling menyesatkan.	0
Saya belum menjalankan ini baterai baru di bawah dua bar dan itu tiga hari tanpa pengisian.	1
Saya membelinya untuk ibu saya dan dia memiliki masalah dengan baterai.	0
Kombinasi Great Pocket PC/ponsel.	1
Aku telah memiliki ponsel ini selama 7 bulan sekarang dan dapat mengatakan bahwa itu adalah ponsel terbaik yang saya miliki.	1
Aku tidak berpikir bahwa instruksi yang diberikan sangat membantu bagi saya.	0
Orang tidak bisa mendengarku bicara dan aku harus menarik earphone dan berbicara di telepon.	0
Tidak memegang kendali.	0
Ini adalah telepon kecil sederhana untuk digunakan, tapi breakage itu tidak dapat diterima.	0
Produk ini ideal untuk orang seperti saya yang telinganya sangat sensitif.	1
Hal ini tidak dapat digunakan dalam mobil yang bergerak pada kecepatan bebas hambatan.	0
Aku punya dua tahun lagi di kontrak ini dan aku benci telepon ini.	0
Charger mobil serta charger AC termasuk untuk memastikan Anda tidak pernah kehabisan tenaga. Highy direkomendasikan.	1
Anda perlu setidaknya 3 menit untuk sampai ke buku telepon Anda dari waktu Anda pertama kali menyalakan telepon.	0
Hal ini telah menjaga dengan sangat baik.	1
Pertunjukan Waktu Bicara Yang Buruk.	0
Kasus ini hebat dan bekerja dengan baik pada tahun 680.	1
produk tak berharga.	0
Ini memiliki kamera besar thats 2MP, dan pics yang bagus dan jelas dengan kualitas gambar yang besar.	1
Saya tidak terkesan dengan produk ini.	0
Nice headset harga yang tepat.	1
Saya hanya mendengar sampah untuk audio.	0
Headset bluetooth yang sangat bagus.	1
Ini memiliki semua fitur yang saya inginkan	1
Siapa di pikiran kanan mereka yang akan membeli baterai ini?.	0
SETELAH BERDEBAT DENGAN VERIZON MENGENAI PANGGILAN YANG DIBATALKAN KAMI KEMBALI TELEPON SETELAH DUA HARI.	0
Kasus ini sepertinya dibuat dengan baik.	1
Kecewa dengan baterai.	0
Tidak cukup keras dan tidak berubah seperti seharusnya.	0
perlindungan yang baik dan tidak membuat telepon terlalu bulky.	1
Sebuah keyboard yang dapat digunakan sebenarnya mengubah sebuah PDA menjadi mesin yang berguna di dunia nyata bukan hanya gadget yang rapi.	1
Ponsel ini cukup kokoh dan saya tidak pernah memiliki masalah besar dengan itu.	1
Aku suka benda ini!	1
Segala sesuatu tentang hal itu baik-baik saja dan wajar untuk harga yaitu	1
SANGAT KECEWA.	0
Aku bahkan menjatuhkan ponsel ini ke dalam aliran sungai dan itu terendam selama 15 detik dan itu masih bekerja besar!	1
Saya telah sangat senang dengan 510 dan tidak memiliki keluhan dari salah satu tentang kualitas suara saya pada akhir mereka.	1
Tombol-tombol untuk on dan off yang buruk.	0
Pada dasarnya Anda dapat melupakan dukungan teknologi Microsoft.	0
Saya sangat merekomendasikan faceplates ini karena terlihat sangat bagus, elegan dan keren.	1
Headphone ini adalah penemuan besar-dan saya pikir mereka mungkin pembelian terbaik yang saya buat dalam beberapa tahun terakhir-serius.	1
Beli ponsel yang berbeda-tapi tidak ini.	0
Anda harus memegang telepon pada sudut tertentu bagi pihak lain untuk mendengar Anda dengan jelas.	0
Salah satu kelemahan besar dari MP3 player adalah bahwa tombol pada sampul depan telepon yang membiarkan Anda berhenti dan melewatkan lagu terkunci setelah beberapa detik.	0
Seminggu kemudian setelah aku mengaktifkannya, tiba-tiba saja mati.	0
Rasanya lebih nyaman daripada kebanyakan headset karena saya memakai kacamata dan yang mendapatkan di jalan kadang-kadang.	1
Besar untuk iPODs juga.	1
Perangkat ini hebat dalam beberapa situasi: 1.)	1
Mic tidak berfungsi.	0
Bahkan dalam seri BMW 3 saya yang cukup tenang, saya kesulitan mendengar apa yang dikatakan orang lain.	0
Pilihan yang bagus!	1
Tempat berlabuh yang bagus untuk rumah atau tempat kerja.	1
Ini adalah telepon yang indah.	1
Aku suka produk ini.	1
Do Not Buy untuk D807...salah diiklankan untuk D807.	0
Ini adalah barang kecil yang besar.	1
Saya suka ponsel ini, sangat berguna dan memiliki banyak fitur.	1
Saya membeli ini dan dalam waktu 2 hari itu tidak lagi bekerja!!!!!!! !!!	0
Aku memakainya setiap hari dan itu berlaku sangat baik.	1
Bukan tawaran yang bagus.	0
Dikemas dengan baik, tiba tepat waktu, dan bekerja seperti yang dimaksudkan.	1
Baterainya habis dengan cepat.	0
Item ini bekerja dengan baik, tapi rusak setelah 6 bulan digunakan.	0
Headset mudah digunakan dan semua orang mencintai mereka.	1
Telepon ini bekerja dengan baik.	1
Konstruksi headset itu buruk.	0
Produk yang sangat baik dan bekerja lebih baik daripada yang verizon satu dan Boy itu lebih murah!	1
Ponsel sangat hebat!	1
